"","Andrena_ceanothi","Andrena_miranda","Andrena_nasonii","Anthidiellum_notatum","Augochlora_pura","Bombus_pensylvanicus","Bombus_perplexus","Bombus_terricola","Bombus_vagans","Calliopsis_andreniformis","Hoplitis_truncata","Lasioglossum_imitatum","Lasioglossum_versans","Megachile_brevis","Megachile_inermis","Nomada_sayi"
"949",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"950",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"952",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"953",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"954",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"955",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"956",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"957",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"958",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"959",0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
"960",0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
"961",1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
"962",1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
"963",0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1
"964",1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0
"965",0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
"966",0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"967",0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0
"968",1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"969",0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"970",0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"986",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"987",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"988",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"991",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"993",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"994",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"995",0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0
"996",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"997",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"998",0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
"999",0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
"1000",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"1001",0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0
"1002",0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0
"1003",1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
"1004",0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0
"1005",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"1006",0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"1007",0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
"1008",0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1
"1009",1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1
"1017",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1018",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"1019",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1022",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"1023",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1024",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1025",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1026",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"1027",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"1028",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"1029",0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
"1030",0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
"1031",0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"1032",0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
"1033",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"1034",0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
"1035",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1036",0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
"1037",0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
"1038",0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0
"1039",0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
"1045",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1046",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1047",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1048",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1049",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1051",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1052",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1053",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1054",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1055",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1056",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"1057",0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
"1058",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1059",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"1060",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1061",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1062",0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0
"1063",0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0
"1064",0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
"1065",0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
"1066",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1067",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1079",0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"1080",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1081",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1082",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1083",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1084",0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
"1086",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1087",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"1088",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"1089",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1090",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1091",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"1092",0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"1093",0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0
"1094",0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"1095",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"1096",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1097",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1106",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"1107",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1108",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1109",0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"1110",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1111",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1112",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1113",0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"1114",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1115",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"1116",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"1117",0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
"1118",0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0
"1119",0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"1120",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1121",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1128",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1129",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1130",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1131",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1132",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1133",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"1134",0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0
"1135",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1136",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1137",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1138",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"1139",0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0
"1140",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1141",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1150",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1151",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1152",0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"1153",0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0
"1154",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1155",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1156",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"1157",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1158",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1159",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1160",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1161",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"1169",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1170",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1173",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1174",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1177",0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
"1178",0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"1189",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1194",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"1195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1196",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1197",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"1209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1210",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1211",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1212",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"1219",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1220",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1221",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1222",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1223",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1227",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1228",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1229",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1239",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1240",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1241",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1253",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1254",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1255",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1268",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1269",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1273",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1284",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1286",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
